SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,PIE,USG_PCT,IS_ROOKIE,IS_TOP10_PICK,PLAYER_TYPE
2025,Jaren Jackson Jr.,MEM,1628991,11,28.7,107,116,-9.1,0.099,0.218,FALSE,FALSE,Veteran
2025,Jarred Vanderbilt,LAL,1629020,11,19.9,115.5,110.1,5.4,0.089,0.122,FALSE,FALSE,Veteran
2025,Jarrett Allen,CLE,1628386,9,26.2,124.7,105.6,19,0.145,0.202,FALSE,FALSE,Veteran
2025,Javon Small,MEM,1642914,8,12.4,112.2,111.4,0.8,0.064,0.161,TRUE,FALSE,Other Rookie
2025,Javonte Green,DET,1629750,11,20.4,110.1,108.7,1.3,0.068,0.128,FALSE,FALSE,Veteran
2025,Jaxson Hayes,LAL,1629637,8,17.8,116.4,109.3,7.1,0.101,0.098,FALSE,FALSE,Veteran
2025,Jay Huff,IND,1630643,10,15.2,92.6,106,-13.4,0.084,0.157,FALSE,FALSE,Veteran
2025,Jaylen Brown,BOS,1627759,11,31.9,116,119.4,-3.4,0.15,0.349,FALSE,FALSE,Veteran
2025,Jaylen Clark,MIN,1641740,9,16.1,118.4,112,6.4,0.05,0.126,FALSE,FALSE,Veteran
2025,Jaylen Wells,MEM,1642377,11,25.1,109.2,118,-8.8,0.042,0.175,FALSE,FALSE,Veteran
2025,Jaylin Williams,OKC,1631119,11,18,109.7,102.1,7.6,0.082,0.145,FALSE,FALSE,Veteran
2025,Jaylon Tyson,CLE,1642281,11,25.8,117,113.8,3.2,0.077,0.149,FALSE,FALSE,Veteran
2025,Jerami Grant,POR,203924,10,28.7,114.1,117.5,-3.4,0.108,0.226,FALSE,FALSE,Veteran
2025,Jeremiah Fears,NOP,1642847,10,26.4,104.4,122.6,-18.2,0.081,0.252,TRUE,FALSE,Other Rookie
2025,Jeremiah Robinson-Earl,IND,1630526,5,17.4,89.6,115.9,-26.3,0.109,0.146,FALSE,FALSE,Veteran
2025,Jimmy Butler III,GSW,202710,10,30.9,114.9,106.6,8.4,0.149,0.222,FALSE,FALSE,Veteran
2025,Jock Landale,MEM,1629111,11,24.8,107.1,112.1,-5,0.095,0.147,FALSE,FALSE,Veteran
2025,Joel Embiid,PHI,203954,6,23.3,123.8,124.6,-0.7,0.141,0.345,FALSE,FALSE,Veteran
2025,John Collins,LAC,1628381,10,25.3,109.3,113.1,-3.8,0.104,0.211,FALSE,FALSE,Veteran
2025,John Konchar,MEM,1629723,9,12.7,110.5,105.9,4.6,0.109,0.075,FALSE,FALSE,Veteran
2025,Jonas Valančiūnas,DEN,202685,9,12.5,114.2,112.3,1.9,0.159,0.278,FALSE,FALSE,Veteran
2025,Jonathan Kuminga,GSW,1630228,11,29.5,114.5,115.8,-1.3,0.099,0.228,FALSE,FALSE,Veteran
2025,Jordan Clarkson,NYK,203903,9,16.3,118.5,116.2,2.3,0.074,0.229,FALSE,FALSE,Veteran
2025,Jordan Goodwin,PHX,1630692,8,14.9,111.2,115.3,-4.2,0.053,0.165,FALSE,FALSE,Veteran
2025,Jordan Hawkins,NOP,1641722,9,15.1,106.1,119.9,-13.8,0.019,0.159,FALSE,FALSE,Veteran
2025,Jordan Poole,NOP,1629673,7,30.3,105,126.9,-21.9,0.07,0.235,FALSE,FALSE,Veteran
2025,Jordan Walsh,BOS,1641775,7,13.2,125,102.7,22.3,0.092,0.101,FALSE,FALSE,Veteran
2025,Jose Alvarado,NOP,1630631,9,18.5,110.3,117.3,-7,0.106,0.136,FALSE,FALSE,Veteran
2025,Josh Giddey,CHI,1630581,9,34.1,115.2,112.2,3,0.162,0.276,FALSE,FALSE,Veteran
2025,Josh Hart,NYK,1628404,8,23.8,122.6,117.3,5.3,0.107,0.15,FALSE,FALSE,Veteran
2025,Josh Minott,BOS,1631169,10,22.1,116.7,108.5,8.2,0.111,0.152,FALSE,FALSE,Veteran
2025,Josh Okogie,HOU,1629006,9,22.5,125,113.3,11.7,0.071,0.13,FALSE,FALSE,Veteran
2025,Jrue Holiday,POR,201950,10,33.5,116.2,109.9,6.3,0.126,0.213,FALSE,FALSE,Veteran
2025,Julian Champagnie,SAS,1630577,10,28.8,115.6,108.6,7.1,0.079,0.139,FALSE,FALSE,Veteran
2025,Julius Randle,MIN,203944,11,33.3,126.2,117.7,8.5,0.168,0.272,FALSE,FALSE,Veteran
2025,Justin Edwards,PHI,1642348,8,11.5,111.8,130.5,-18.7,0.023,0.14,FALSE,FALSE,Veteran
2025,Jusuf Nurkić,UTA,203994,10,21.7,94.6,111.9,-17.3,0.098,0.193,FALSE,FALSE,Veteran
2025,Karl-Anthony Towns,NYK,1626157,9,32.6,122.6,110.9,11.7,0.142,0.253,FALSE,FALSE,Veteran
2025,Kawhi Leonard,LAC,202695,6,33.5,110.1,122,-11.9,0.156,0.268,FALSE,FALSE,Veteran
2025,Keaton Wallace,ATL,1630811,10,15.8,103,100.6,2.4,0.098,0.134,FALSE,FALSE,Veteran
2025,Kel'el Ware,MIA,1642276,11,22.6,112.7,118.9,-6.1,0.114,0.176,FALSE,FALSE,Veteran
2025,Keldon Johnson,SAS,1629640,10,23.5,110.3,110.2,0.1,0.139,0.165,FALSE,FALSE,Veteran
2025,Kelly Oubre Jr.,PHI,1626162,10,37.2,118.4,114.9,3.5,0.097,0.177,FALSE,FALSE,Veteran
2025,Kentavious Caldwell-Pope,MEM,203484,11,24.6,106.3,113.3,-7,0.078,0.174,FALSE,FALSE,Veteran
2025,Keon Ellis,SAC,1631165,10,18,110.7,114.5,-3.8,0.058,0.13,FALSE,FALSE,Veteran
2025,Kevin Durant,HOU,201142,9,35.7,120.9,112,8.9,0.127,0.253,FALSE,FALSE,Veteran
2025,Kevin Huerter,CHI,1628989,10,26,116.3,111.7,4.6,0.104,0.204,FALSE,FALSE,Veteran
2025,Kevin Love,UTA,201567,5,13,127.9,139.9,-11.9,0.084,0.159,FALSE,FALSE,Veteran
2025,Kevon Looney,NOP,1626172,5,15.9,85.4,115.9,-30.5,0.056,0.141,FALSE,FALSE,Veteran
2025,Keyonte George,UTA,1641718,10,33.9,111.7,118.9,-7.1,0.138,0.265,FALSE,FALSE,Veteran
2025,Khris Middleton,WAS,203114,8,24.7,105.8,126.2,-20.4,0.053,0.172,FALSE,FALSE,Veteran
2025,Klay Thompson,DAL,202691,10,19.7,94.3,106,-11.7,0.067,0.193,FALSE,FALSE,Veteran
2025,Kon Knueppel,CHA,1642851,10,32.2,114.5,114.5,0,0.103,0.197,TRUE,FALSE,Other Rookie
2025,Kris Dunn,LAC,1627739,10,26,107.2,117,-9.9,0.06,0.127,FALSE,FALSE,Veteran
2025,Kris Murray,POR,1631200,9,21.8,111.7,114,-2.3,0.042,0.104,FALSE,FALSE,Veteran
2025,Kristaps Porziņģis,ATL,204001,8,26.1,115.4,119.5,-4.1,0.129,0.258,FALSE,FALSE,Veteran
2025,Kyle Filipowski,UTA,1642271,10,19.9,113.8,112.4,1.4,0.055,0.171,FALSE,FALSE,Veteran
2025,Kyle Kuzma,MIL,1628398,10,25,111.6,110.6,0.9,0.109,0.195,FALSE,FALSE,Veteran
2025,Kyshawn George,WAS,1642273,10,30.4,103.3,116.9,-13.6,0.092,0.209,FALSE,FALSE,Veteran
2025,LaMelo Ball,CHA,1630163,6,33.3,121.1,116.7,4.4,0.146,0.295,FALSE,FALSE,Veteran
2025,Landry Shamet,NYK,1629013,9,18.1,109.9,108.9,1,0.07,0.14,FALSE,FALSE,Veteran
2025,Larry Nance Jr.,CLE,1626204,9,16.6,106.9,113.6,-6.7,0.04,0.151,FALSE,FALSE,Veteran
2025,Lauri Markkanen,UTA,1628374,10,35.3,110.2,114.7,-4.5,0.145,0.277,FALSE,FALSE,Veteran
2025,Liam McNeeley,CHA,1642862,8,12.6,107.2,113.3,-6,0.047,0.142,TRUE,FALSE,Other Rookie
2025,Lonzo Ball,CLE,1628366,9,23.4,111.4,113.9,-2.5,0.064,0.132,FALSE,FALSE,Veteran
2025,Luguentz Dort,OKC,1629652,7,31.8,115.5,103,12.4,0.041,0.123,FALSE,FALSE,Veteran
2025,Luka Dončić,LAL,1629029,7,37.1,123.8,120.6,3.2,0.211,0.378,FALSE,FALSE,Veteran
2025,Luka Garza,BOS,1630568,10,13.4,107.4,116.7,-9.3,0.08,0.157,FALSE,FALSE,Veteran
2025,Luke Kennard,ATL,1628379,9,24.6,112.7,107.9,4.8,0.069,0.135,FALSE,FALSE,Veteran
2025,Malik Monk,SAC,1628370,8,24.4,110.6,108.6,2,0.11,0.204,FALSE,FALSE,Veteran
2025,Marcus Smart,LAL,203935,9,28.7,117.7,107.3,10.4,0.068,0.162,FALSE,FALSE,Veteran
2025,Mark Williams,PHX,1631109,10,25.1,118.8,104.6,14.2,0.143,0.162,FALSE,FALSE,Veteran
2025,Marvin Bagley III,WAS,1628963,11,14.6,100.5,120.5,-20,0.116,0.165,FALSE,FALSE,Veteran
2025,Matas Buzelis,CHI,1641824,10,28.1,112.4,110.4,2,0.076,0.199,FALSE,FALSE,Veteran
2025,Max Christie,DAL,1631108,11,29.9,108.8,111.2,-2.3,0.095,0.156,FALSE,FALSE,Veteran
2025,Maxime Raynaud,SAC,1642875,5,11.8,104.4,114.7,-10.3,0.076,0.16,TRUE,FALSE,Other Rookie
2025,Micah Peavy,NOP,1642877,6,11.7,106.8,116.2,-9.5,0.002,0.128,TRUE,FALSE,Other Rookie
2025,Michael Porter Jr.,BKN,1629008,9,31.6,112.7,128.1,-15.4,0.13,0.286,FALSE,FALSE,Veteran
2025,Mikal Bridges,NYK,1628969,9,34.3,122.6,112.9,9.7,0.117,0.148,FALSE,FALSE,Veteran
2025,Mike Conley,MIN,201144,11,20.3,117.6,115.4,2.2,0.085,0.12,FALSE,FALSE,Veteran
2025,Miles Bridges,CHA,1628970,10,35,113,116.8,-3.8,0.129,0.24,FALSE,FALSE,Veteran
2025,Miles McBride,NYK,1630540,7,23.1,124.7,111.4,13.3,0.075,0.149,FALSE,FALSE,Veteran
2025,Moses Moody,GSW,1630541,9,22.9,110.3,99.8,10.5,0.096,0.199,FALSE,FALSE,Veteran
2025,Mouhamed Gueye,ATL,1631243,11,16.9,115.1,104.1,11.1,0.102,0.155,FALSE,FALSE,Veteran
2025,Moussa Cisse,DAL,1630619,7,10.7,107.5,98.8,8.7,0.078,0.14,TRUE,FALSE,Other Rookie
2025,Moussa Diabaté,CHA,1631217,10,20.9,115.8,118.5,-2.7,0.122,0.152,FALSE,FALSE,Veteran
2025,Myles Turner,MIL,1626167,11,29.1,116.4,112.8,3.6,0.089,0.176,FALSE,FALSE,Veteran
2025,Naji Marshall,DAL,1630230,11,24.6,103,107.5,-4.4,0.11,0.155,FALSE,FALSE,Veteran
2025,Naz Reid,MIN,1629675,11,23.6,113.9,121.4,-7.5,0.088,0.2,FALSE,FALSE,Veteran
2025,Neemias Queta,BOS,1629674,11,23.8,117,100.2,16.8,0.123,0.137,FALSE,FALSE,Veteran
2025,Nic Claxton,BKN,1629651,10,28.2,115.8,132.2,-16.4,0.124,0.181,FALSE,FALSE,Veteran
2025,Nick Smith Jr.,LAL,1641733,5,17.4,114.6,109,5.6,0.062,0.22,FALSE,FALSE,Veteran
2025,Nickeil Alexander-Walker,ATL,1629638,9,30.9,110.4,117.3,-6.9,0.091,0.245,FALSE,FALSE,Veteran
2025,Nicolas Batum,LAC,201587,10,16.2,106.9,119,-12.1,0.035,0.112,FALSE,FALSE,Veteran
2025,Nikola Jokić,DEN,203999,9,34,126.6,106.9,19.7,0.25,0.247,FALSE,FALSE,Veteran
2025,Nikola Jović,MIA,1631107,11,22.6,115.9,105.3,10.6,0.091,0.188,FALSE,FALSE,Veteran
2025,Nikola Vučević,CHI,202696,10,31.3,111.9,115.4,-3.5,0.135,0.207,FALSE,FALSE,Veteran
2025,Nique Clifford,SAC,1642363,6,21.7,116.2,116.3,-0.1,0.05,0.119,TRUE,FALSE,Other Rookie
2025,Noah Clowney,BKN,1641730,10,23.4,116.6,129.5,-12.9,0.043,0.177,FALSE,FALSE,Veteran
