SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,GP,MPG,GAMES,MIN_TOTAL,FIRST_GAME,LAST_GAME,OFFRTG_AVG,DEFRTG_AVG,NETRTG_AVG,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,sp_work_OFF_RATING,sp_work_DEF_RATING,sp_work_NET_RATING,PIE_AVG,USG_PCT_AVG
2019-20,Darius Garland,CLE,1629636,59,30.914717514124238,10,283.4,2019-10-23T00:00:00,2019-11-12T00:00:00,106.67533521524348,105.7773465067043,0.8979887085391738,105.27918136908963,105.42921665490474,-0.1500352858151075,106.67533521524348,105.7773465067043,0.8979887085391738,0.03960973888496824,0.1910405786873677
2019-20,De'Andre Hunter,ATL,1629631,63,32.03071428571428,10,298.4,2019-10-24T00:00:00,2019-11-12T00:00:00,107.15787533512065,105.48351206434317,1.6743632707774765,104.87952412868633,105.29467158176945,-0.4151474530831223,107.15787533512065,105.48351206434317,1.6743632707774765,0.05180764075067025,0.15494504021447722
2019-20,Eric Paschall,GSW,1629672,60,27.56325,10,304.5,2019-10-24T00:00:00,2019-11-11T00:00:00,112.22988505747126,120.28840722495895,-8.05852216748768,109.94571428571429,118.62719211822662,-8.681477832512329,112.22988505747126,120.28840722495895,-8.05852216748768,0.09481707717569787,0.18272052545155992
2019-20,Grant Williams,BOS,1629684,69,15.119178743961303,10,152.6,2019-10-23T00:00:00,2019-11-13T00:00:00,102.44062909567498,98.7143512450852,3.7262778505897813,103.53859764089123,100.40281782437745,3.135779816513775,102.44062909567498,98.7143512450852,3.7262778505897813,0.037698558322411535,0.11766513761467891
2019-20,Ja Morant,MEM,1629630,67,30.960049751243734,10,274.7,2019-10-23T00:00:00,2019-11-13T00:00:00,104.27007644703313,108.7116126683655,-4.44153622133237,103.56840189297415,107.66840189297415,-4.099999999999994,104.27007644703313,108.7116126683655,-4.44153622133237,0.11566800145613397,0.30548962504550414
2019-20,Jarrett Culver,MIN,1629633,63,23.89851851851857,10,214.4,2019-10-23T00:00:00,2019-11-11T00:00:00,102.8008395522388,98.03129664179104,4.769542910447754,101.46497201492537,97.4857276119403,3.97924440298506,102.8008395522388,98.03129664179104,4.769542910447754,0.022896455223880594,0.19109981343283583
2019-20,Jaxson Hayes,NOP,1629637,64,16.870546875,10,167.2,2019-10-28T00:00:00,2019-11-17T00:00:00,111.0072966507177,107.55873205741628,3.448564593301427,109.94324162679426,106.96650717703349,2.9767344497607695,111.0072966507177,107.55873205741628,3.448564593301427,0.09915729665071771,0.15056698564593304
2019-20,Jordan McLaughlin,MIN,1629162,30,19.68155555555557,10,162.1,2019-11-06T00:00:00,2020-01-22T00:00:00,95.51566933991364,107.7592843923504,-12.243615052436752,95.3877236273905,108.50018507094387,-13.112461443553372,95.51566933991364,107.7592843923504,-12.243615052436752,0.09219247378161628,0.14126341764343
2019-20,Jordan Poole,GSW,1629673,57,22.348947368421054,10,268.4,2019-10-24T00:00:00,2019-11-09T00:00:00,102.71564828614011,109.5115871833085,-6.795938897168398,101.35331594634874,110.4675484351714,-9.114232488822651,102.71564828614011,109.5115871833085,-6.795938897168398,0.02175447093889717,0.19671795827123698
2019-20,Kelan Martin,MIN,1629103,31,15.964408602150549,10,139.1,2019-10-25T00:00:00,2019-12-23T00:00:00,93.91200575125809,101.30474478792236,-7.392739036664267,94.23968368080517,101.85420560747664,-7.614521926671472,93.91200575125809,101.30474478792236,-7.392739036664267,0.038508986340762046,0.15605248023005033
2019-20,Kendrick Nunn,MIA,1629134,67,29.290572139303436,10,292.4,2019-10-23T00:00:00,2019-11-12T00:00:00,100.97397400820795,99.87705198358414,1.096922024623808,100.31422708618332,97.18060875512997,3.1336183310533556,100.97397400820795,99.87705198358414,1.096922024623808,0.10163235294117648,0.24733960328317378
2019-20,Kevin Porter Jr.,CLE,1629645,50,23.2344,10,192.1,2019-10-23T00:00:00,2019-11-14T00:00:00,93.87886517438835,101.06392503904218,-7.185059864653823,94.85825091098387,99.72498698594484,-4.8667360749609685,93.87886517438835,101.06392503904218,-7.185059864653823,0.05279333680374805,0.1686923477355544
2019-20,Ky Bowman,GSW,1629065,45,22.55970370370378,10,192.29999999999998,2019-10-24T00:00:00,2019-11-09T00:00:00,108.54477379095165,111.31154446177848,-2.76677067082683,106.95137805512222,110.00275611024442,-3.0513780551222,108.54477379095165,111.31154446177848,-2.76677067082683,0.06745917836713469,0.16823244929797196
